ID do canal,URL do canal,Título do canal
UC0BiVs5EYh57gzGVvhddjsA,http://www.youtube.com/channel/UC0BiVs5EYh57gzGVvhddjsA,Didática Tech
UC3YoQ-S3szZH265K913KGjw,http://www.youtube.com/channel/UC3YoQ-S3szZH265K913KGjw,Eden
UC5Bn1EuTqaQNCCKo_9SAi_w,http://www.youtube.com/channel/UC5Bn1EuTqaQNCCKo_9SAi_w,Nerd dos Dados
UCCTHtVMXy9gQA8X_HOEJA2A,http://www.youtube.com/channel/UCCTHtVMXy9gQA8X_HOEJA2A,Gis com Giz Matemática
UCFS6ofy6-uQWg6yHmGdlnwg,http://www.youtube.com/channel/UCFS6ofy6-uQWg6yHmGdlnwg,Mr Sunshine
UCG-eghyORxNrzSG8FkAWKyw,http://www.youtube.com/channel/UCG-eghyORxNrzSG8FkAWKyw,Paulo Jubilut
UCLv7Gzc3VTO6ggFlXY0sOyw,http://www.youtube.com/channel/UCLv7Gzc3VTO6ggFlXY0sOyw,Harvard University
UC_eBg6o7KnGs23t6p3T9YAg,http://www.youtube.com/channel/UC_eBg6o7KnGs23t6p3T9YAg,Manuzinha Star
UCd3ThZLzVDDnKSZMsbK0icg,http://www.youtube.com/channel/UCd3ThZLzVDDnKSZMsbK0icg,Eduardo | Ciência dos Dados
UCn9Erjy00mpnWeLnRqhsA1g,http://www.youtube.com/channel/UCn9Erjy00mpnWeLnRqhsA1g,Ciência Todo Dia
UCnnlOUsq7ZiPMqIGGUrN7tA,http://www.youtube.com/channel/UCnnlOUsq7ZiPMqIGGUrN7tA,Nabi App Lamarr
UCrWvhVmt0Qac3HgsjQK62FQ,http://www.youtube.com/channel/UCrWvhVmt0Qac3HgsjQK62FQ,Curso em Vídeo





