ID do vídeo,Duração aproximada (ms),Categoria do vídeo,Descrição do vídeo (original),ID do canal,Tag 1,Título do vídeo (original),Privacidade,Estado do vídeo,Carimbo de data/hora de criação do vídeo,Carimbo de data/hora de publicação do vídeo
E9YZssezfyg,36000,Pessoas,Nós fazemos o q vcs querer quando tiver a meta de 60 likes,UCDBnBJ2_rN3m97D1RNJju4Q,Oi,Meu primeiro vídeo do canal!!!!!,Público,Processado,2017-03-09T18:02:19+00:00,2017-03-09T18:04:19+00:00
I__FvbpEvT0,271000,Pessoas,Olha os lendários mais fortes do mundo,UCDBnBJ2_rN3m97D1RNJju4Q,,Olha meus Pokémon lendários,Público,Processado,2017-03-09T23:18:52+00:00,2017-03-10T17:27:18+00:00
fpfDICLlkvw,77000,Pessoas,Primeiro vídeo encher de Miles porque essa dica é muito boa,UCDBnBJ2_rN3m97D1RNJju4Q,,Primeiro vídeo gta5 como concertar o carro sem pagar (jogos dos irmãos),Público,Processado,2018-01-03T12:31:37+00:00,2018-01-03T12:41:10+00:00
_pIIu9DSYXo,675000,Pessoas,Deixem like,UCDBnBJ2_rN3m97D1RNJju4Q,,Jogo do Clash Royale começando,Público,Processado,2018-03-28T17:03:21+00:00,2018-03-28T19:09:21+00:00





