ID do vídeo,Song Title,Album Title,Artist Name 1,Artist Name 2,Artist Name 3,Artist Name 4,Artist Name 5,Artist Name 6,Artist Name 7
9bgyuqM4LcU,Aliança,Tribalistas,Tribalistas,,,,,,
aQIhNPL_EAc,Animals,V (Deluxe),Maroon 5,,,,,,
PMyoHar7EdY,AVVISO,SPECCHIO,ARIETE,,,,,,
PB1UcbXERXM,Batalha Batalha Batalha,Batalha Batalha Batalha,O Corinthiano,,,,,,
eLhSxOAaWmg,Beautiful Things,Fireworks & Rollerblades,Benson Boone,,,,,,
Ck0LO6b6OQc,Better Off Alone,Who Needs Guitars Anyway?,Alice Deejay,,,,,,
Uyka5SnxmQ4,Dangerous Woman,Dangerous Woman,Ariana Grande,,,,,,
y4FiCl-tUJc,Demons,Night Visions,Imagine Dragons,,,,,,
h8DeZSB2o-c,From The Start,Bewitched,Laufey,,,,,,
v6HFc5I0hr8,Ghost,Justice,Justin Bieber,,,,,,
zGipbUYrUCQ,Good Time,The Midsummer Station,Owl City,Carly Rae Jepsen,,,,,
ACNwMzZejQQ,Just Dance,The Fame,Lady Gaga,Colby O'Donis,,,,,
oytOOA9sOiE,Love In The Dark,25,Adele,,,,,,
kcuKt9jAP84,MEDIO DE PAREDÃO 4 - SENTA NO BUGALU - ESCRAVOS DO PÓ,MEDIO DE PAREDÃO 4 - SENTA NO BUGALU - ESCRAVOS DO PÓ,DJ BRUNO PRADO,,,,,,
1I3KkSTfclA,Muleque De Vila,A Milenar Arte De Meter O Louco,Projota,,,,,,
IPCpnRTepRE,Na Sola Da Bota,Na Sola Da Bota,Rionegro & Solimões,,,,,,
daCUkqRjFVc,Passinho do Talles Magno,Passinho do Talles Magno,Mc Agabê,DJ RATINHO,Chrysbxd,DJ MS,,,
62yox0F5lcA,Please Please Please,Short n' Sweet,Sabrina Carpenter,,,,,,
jmgbxrd4Gw4,Pra Sempre Com Você,Como. Sempre Feito. Nunca,Jorge & Mateus,,,,,,
QCLwUr3OTGs,Quero Ser Feliz Também (Ao Vivo),Natiruts Acústico no Rio de Janeiro (Ao Vivo),Natiruts,,,,,,
5Z0dxsFmX7c,Rasputin,Nightflight to Venus,Boney M.,,,,,,
 -Uw97CvOgKU,SHEESH,BABYMONS7ER,BABYMONSTER,,,,,,
q_8QomXrQ70,Sosseguei,Sosseguei,Jorge & Mateus,,,,,,
8VKD-IlvibI,Unholy,Unholy,Sam Smith,Kim Petras,,,,,
RCDItRwm8UU,Venom (Music From The Motion Picture),Venom (Music From The Motion Picture),Eminem,,,,,,
18NrPiMjiCE,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],Soirée d'été : Summer Hits Mix 2022,Shakira,Freshlyground,,,,,
EkrvL4fSpw4,Where Them Girls At,Nothing but the Beat Ultimate,David Guetta,Flo Rida,Nicki Minaj,,,,
gGvOkOYJDTU,WORTH NOTHING (Fast & Furious: Drift Tape/Phonk Vol 1),WORTH NOTHING (Fast & Furious: Drift Tape/Phonk Vol 1),TWISTED,Oliver Tree,,,,,
Ytmcwjf2amw,Your Idol,Your Idol (from the Netflix film KPop Demon Hunters),Saja Boys,Andrew Choi,Neckwav,Danny Chung,Kevin Woo,samUIL Lee,KPop Demon Hunters Cast





